month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
1,19200.0,14500.0,300.0,0.06,1.0,147197.3141306804,7.666526777639604,55037.314130680395,92160.0,82814.6570653402,82814.6570653402,3.85801734241485,5760.0,12.8600578080495,12.8600578080495,19.47116891916061,6.611111111111112,4.6513506757481835,0.5900000000000001,8740.724090975084,73656.0,-7983.102934659808,742016.8970653402,0.05791735193847067,0.0,82814.6570653402,1182745.7894726305,0.07001898277927168,5555555.555555556,44719.91481528373,257410.45305986967,True
2,33758.0,15710.0,1152.0,0.06,1.0,260126.73532003685,7.70563230404754,98088.33532003686,162038.4,146267.2076600184,146267.2076600184,3.875506397159007,10127.4,12.91835465719669,12.91835465719669,19.5294657683078,6.6111111111111125,4.668839730492341,0.5900000000000001,15437.862704724655,75898.44,40229.62526001845,782246.5223253586,0.034051702523992235,0.0,146267.2076600184,384190.5935902871,0.3807152233820757,5555555.555555556,381183.2798928745,151340.90010663218,True
3,48691.469999999994,16958.95,2025.48,0.06,1.0,376295.99818416,7.72817083123923,142576.94218416006,233719.05599999995,211519.90469208,211519.90469208,3.885586239373538,14607.440999999997,12.951954131245127,12.951954131245127,19.563065242356238,6.6111111111111125,4.678919572706871,0.5900000000000001,22324.998885210574,78214.13459999999,89834.02567608003,872080.5480014386,0.026416627341981098,0.0,211519.90469208,335603.6116306846,0.6302670691304936,5555555.555555556,1181648.1949385367,117407.23263102712,True
4,64018.53154999999,18248.54975,2921.4881999999993,0.06,1.0,495683.69333407446,7.742815733705696,188394.74189407448,307288.95144,278570.7418110372,278570.7418110372,3.8921358379721354,19205.559465,12.973786126573785,12.973786126573785,19.5848972376849,6.611111111111113,4.685469171305469,0.5900000000000001,29401.920870932343,80606.260629,140808.73621419727,1012889.2842156359,0.022889553668025052,0.0,278570.7418110372,361492.44029907585,0.7706129112425296,5555555.555555556,2487096.2257015067,101731.3496356669,True
5,79757.98452075,19580.564863749998,3841.1118929999993,0.06,1.0,618351.5184308337,7.752847845220589,235513.19273123372,382838.3256996,347459.59178537683,347459.59178537683,3.8966224710288855,23927.395356225,12.988741570096286,12.988741570096286,19.5998526812074,6.611111111111112,4.689955804362219,0.5900000000000001,36672.837057848345,83078.11828948499,193173.54491576628,1206062.829131402,0.020954881782951053,0.0,347459.59178537683,407976.74878359155,0.8516651814627906,5555555.555555556,4287663.997148497,93132.80792422692,True
6,95929.33493469875,20956.82948519375,4785.479071245,0.06,1.0,744399.5974991038,7.759874474328767,283938.7898125498,460460.807686554,418245.8795182073,418245.8795182073,3.8997649706300397,28778.800480409624,12.9992165687668,12.9992165687668,19.610327679877912,6.6111111111111125,4.693098303963373,0.5900000000000001,44144.019484032586,85633.13614785952,246967.03314064874,1453029.8622720507,0.019794252422395575,0.0,418245.8795182073,463900.2429260024,0.9015858169854902,5555555.555555556,6553410.232713536,87974.45521064701,True
7,112552.82389970867,22379.249061091847,5755.7600960819245,0.06,1.0,873950.8499957434,7.764806068077742,333697.29527714173,540253.5547186016,491000.78046973184,491000.78046973184,3.901970513451584,33765.8471699126,13.006568378171947,13.006568378171947,19.617679489283056,6.611111111111111,4.695303846784917,0.5900000000000001,51822.980407359835,88274.87632366711,302238.74296840484,1755268.6052404556,0.01906538726019294,0.0,491000.78046973184,525662.1159543492,0.9340615683865879,5555555.555555556,9246773.87122661,84735.05448974641,True
8,129649.45768980467,23849.803224078503,6753.16943398252,0.06,1.0,1007144.1309894003,7.76820936188613,384826.7340783379,622317.3969110624,565803.8051858065,565803.8051858065,3.9034925589830642,38894.8373069414,13.011641863276882,13.011641863276882,19.622752974387993,6.611111111111112,4.696825892316397,0.5900000000000001,59718.11181746429,91007.03988555858,359045.7294747901,2114314.3347152458,0.018600379794663773,0.0,565803.8051858065,591784.678451706,0.9560974215590143,5555555.555555556,12328493.661231674,82668.35464295011,True
9,147241.0390189929,25370.54879057649,7778.96746138828,0.06,1.0,1144130.8133931065,7.770461421733943,437373.8261019406,706756.9872911659,642741.1054256698,642741.1054256698,3.9044997413836957,44172.311705697866,13.014999137945653,13.014999137945653,19.626110249056765,6.6111111111111125,4.697833074717029,0.5900000000000001,67838.50665494544,93833.47246229157,417450.83332722145,2531765.168042467,0.018307314612242106,0.0,642741.1054256698,661570.8772756559,0.9715377860532088,5555555.555555556,15760605.451297302,81365.84272107604,True
10,165350.1995560247,26943.622878171373,8834.462341139573,0.06,1.0,1285072.9585199743,7.771825870004832,491392.0006510557,793680.9578689184,721904.5750468789,721904.5750468789,3.9051099597517136,49605.0598668074,13.01703319917238,13.01703319917238,19.628144310283492,6.611111111111112,4.698443293085047,0.5900000000000001,76193.86391371349,96758.17007737419,477521.7468058859,3009286.914848353,0.01813171251700667,0.0,721904.5750468789,734666.736384258,0.9826286386665749,5555555.555555556,19507942.667964872,80585.3889644741,True
